Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,1969,M08,1969 Aug,36.90,5.4
CUSR0000SA0,1969,M09,1969 Sep,37.10,5.7
CUSR0000SA0,1969,M10,1969 Oct,37.30,5.7
CUSR0000SA0,1969,M11,1969 Nov,37.50,5.9
CUSR0000SA0,1969,M12,1969 Dec,37.70,5.9
CUSR0000SA0,1970,M01,1970 Jan,37.90,6.2
CUSR0000SA0,1970,M02,1970 Feb,38.10,6.4
CUSR0000SA0,1970,M03,1970 Mar,38.30,6.1
CUSR0000SA0,1970,M04,1970 Apr,38.50,6.1
CUSR0000SA0,1970,M05,1970 May,38.60,6.0
CUSR0000SA0,1970,M06,1970 Jun,38.80,6.0
CUSR0000SA0,1970,M07,1970 Jul,38.90,5.7
CUSR0000SA0,1970,M08,1970 Aug,39.00,5.7
CUSR0000SA0,1970,M09,1970 Sep,39.20,5.7
CUSR0000SA0,1970,M10,1970 Oct,39.40,5.6
CUSR0000SA0,1970,M11,1970 Nov,39.60,5.6
CUSR0000SA0,1970,M12,1970 Dec,39.80,5.6
CUSR0000SA0,1971,M01,1971 Jan,39.90,5.3
CUSR0000SA0,1971,M02,1971 Feb,39.90,4.7
CUSR0000SA0,1971,M03,1971 Mar,40.00,4.4
CUSR0000SA0,1971,M04,1971 Apr,40.10,4.2
CUSR0000SA0,1971,M05,1971 May,40.30,4.4
CUSR0000SA0,1971,M06,1971 Jun,40.50,4.4
CUSR0000SA0,1971,M07,1971 Jul,40.60,4.4
CUSR0000SA0,1971,M08,1971 Aug,40.70,4.4
CUSR0000SA0,1971,M09,1971 Sep,40.80,4.1
CUSR0000SA0,1971,M10,1971 Oct,40.90,3.8
CUSR0000SA0,1971,M11,1971 Nov,41.00,3.5
CUSR0000SA0,1971,M12,1971 Dec,41.10,3.3
CUSR0000SA0,1972,M01,1972 Jan,41.20,3.3
CUSR0000SA0,1972,M02,1972 Feb,41.40,3.8
CUSR0000SA0,1972,M03,1972 Mar,41.40,3.5
CUSR0000SA0,1972,M04,1972 Apr,41.50,3.5
CUSR0000SA0,1972,M05,1972 May,41.60,3.2
CUSR0000SA0,1972,M06,1972 Jun,41.70,3.0
CUSR0000SA0,1972,M07,1972 Jul,41.80,3.0
CUSR0000SA0,1972,M08,1972 Aug,41.90,2.9
CUSR0000SA0,1972,M09,1972 Sep,42.10,3.2
CUSR0000SA0,1972,M10,1972 Oct,42.20,3.2
CUSR0000SA0,1972,M11,1972 Nov,42.40,3.4
CUSR0000SA0,1972,M12,1972 Dec,42.50,3.4
CUSR0000SA0,1973,M01,1973 Jan,42.70,3.6
CUSR0000SA0,1973,M02,1973 Feb,43.00,3.9
CUSR0000SA0,1973,M03,1973 Mar,43.40,4.8
CUSR0000SA0,1973,M04,1973 Apr,43.70,5.3
CUSR0000SA0,1973,M05,1973 May,43.90,5.5
CUSR0000SA0,1973,M06,1973 Jun,44.20,6.0
CUSR0000SA0,1973,M07,1973 Jul,44.20,5.7
CUSR0000SA0,1973,M08,1973 Aug,45.00,7.4
CUSR0000SA0,1973,M09,1973 Sep,45.20,7.4
CUSR0000SA0,1973,M10,1973 Oct,45.60,8.1
CUSR0000SA0,1973,M11,1973 Nov,45.90,8.3
CUSR0000SA0,1973,M12,1973 Dec,46.30,8.9
CUSR0000SA0,1974,M01,1974 Jan,46.80,9.6
CUSR0000SA0,1974,M02,1974 Feb,47.30,10.0
CUSR0000SA0,1974,M03,1974 Mar,47.80,10.1
